"age","agesq","neYl","DNat","edu2d","edu3d","edu4d","mar2","mar3","mar4","OW","mPCS","mPCS_true_mean","mPCS_true_sd"
-0.401318181818182,-0.325376336053327,0.0701575148639733,0,1,0,0,0,0,0,0,-0.248775745899536,-0.129798548346693,0.0795741931647527
-0.388331168831169,-0.319744799448339,0.0347621664093232,0,1,0,0,0,1,0,0,-0.276471700804795,-0.11762504221559,0.0897646591517022
-0.336383116883117,-0.294920066659005,0.130487991683689,0,1,0,0,0,1,0,1,-0.199087331281612,-0.114124071628407,0.0890685921294835
-0.466253246753247,-0.350086139524193,-0.0577273889922621,0,0,0,0,0,1,0,0,-0.111232079685261,-0.111158511418176,0.0861043550108575
-0.375344155844156,-0.313883404206413,-0.0862110763249729,0,1,0,0,0,1,0,0,-0.0191431086152406,-0.0886197983670748,0.102394287097327
-0.401318181818182,-0.325376336053327,0.0301250415458159,0,1,0,0,0,1,0,0,-0.081544186353575,-0.120665542037853,0.0884180558551833
-0.323396103896104,-0.288139236869325,-0.122269856899432,0,0,0,0,0,1,0,0,0.0458148498567543,-0.0538271464501263,0.113226368508419
-0.47924025974026,-0.354338524307551,-0.23236853982422,0,0,0,0,0,1,0,0,-0.144245434544857,-0.0790603098832247,0.0991152420830802
-0.362357142857143,-0.307792150327549,-0.0669097989888635,0,1,0,0,0,1,0,0,0.0490331286833164,-0.0886116867232362,0.102461942684213
-0.401318181818182,-0.325376336053327,0.0187631903148837,0,1,0,0,0,1,0,0,-0.0202550231976236,-0.11831689910976,0.0893581608838328
-0.362357142857143,-0.307792150327549,-0.35622097821998,0,0,0,1,0,1,0,0,-0.0137076342871131,-0.0663880977979796,0.118734672698579
-0.375344155844156,-0.313883404206413,-0.0636985251881777,0,0,1,0,0,1,0,0,-0.0273446075255028,-0.108466304596727,0.0898333769863807
-0.362357142857143,-0.307792150327549,-0.197445634295957,0,0,0,1,0,1,0,0,-0.0631303245874807,-0.0992090334961568,0.102421087629772
-0.271448051948052,-0.258717331341225,-0.11986443919312,0,1,0,0,0,0,0,0,-0.0521545552765028,-0.0505531110130868,0.1132724825425
-0.284435064935065,-0.266417595678658,-0.0599031326514656,0,0,0,1,0,0,0,0,0.0229645966747511,-0.104522732961112,0.0933408065072903
-0.2195,-0.225617687622112,0.0384228697885702,0,1,0,0,0,1,0,1,0.0619576890908835,-0.0591467407057001,0.111879251487037
-0.297422077922078,-0.273888001379152,-0.359871205546061,0,1,0,0,0,0,0,0,0.195866886749516,-0.00892919814224019,0.137164840410127
-0.401318181818182,-0.325376336053327,-0.11363941360395,0,1,0,0,0,1,0,0,-0.0261143150476685,-0.0909475529500013,0.101078940023557
-0.206512987012987,-0.216768130099989,-0.0384058595725332,0,1,0,0,0,0,0,0,0.0826857432712046,-0.0474298868610396,0.112956190876039
-0.323396103896104,-0.288139236869325,0.196102969233232,0,0,0,0,0,1,0,0,-0.120361838385129,-0.119638964559286,0.0841858032864248
-0.245474025974026,-0.242627226755545,-0.104953841583853,0,0,0,1,0,0,0,1,-0.21147604700909,-0.0759316344553314,0.102723696491468
-0.414305194805195,-0.330778014021377,0.105211577656002,0,0,1,0,0,1,0,0,-0.0946358808837169,-0.15537938937415,0.0724161004668909
-0.375344155844156,-0.313883404206413,-0.2774048956575,1,1,0,0,0,0,0,1,0.0459935427291343,-0.0501137500929891,0.111764999474686
-0.258461038961039,-0.250787208366854,-0.145916161964854,0,0,0,1,0,1,0,0,-0.0595867999442798,-0.0778974441823241,0.111683449009244
-0.232487012987013,-0.234237386507298,-0.230681698806409,0,0,0,0,0,0,0,0,-0.0252462055996748,-0.0043165665107635,0.130695806479024
-0.323396103896104,-0.288139236869325,-0.0855763356364439,1,0,0,1,0,1,0,0,-0.16090508628253,-0.117799966192557,0.0944926233422585
-0.453266233766234,-0.345603896103896,0.0543012446906983,0,1,0,0,0,1,0,0,-0.192364397157572,-0.141664877369698,0.0796644416347854
-0.440279220779221,-0.340891794046661,0.00639608299068537,0,0,0,0,0,0,0,0,-0.0303201253741186,-0.117268309264573,0.079061863633277
-0.232487012987013,-0.234237386507298,0.0781777302673309,0,1,0,0,0,0,0,1,0.0283552373000316,-0.0722141577023905,0.099294301153862
-0.323396103896104,-0.288139236869325,-0.0226772550253095,0,1,0,0,0,1,0,0,-0.156621214735918,-0.0857646675950065,0.103729483115833
