"age","agesq","neYl","DNat","edu2d","edu3d","edu4d","mar2","mar3","mar4","OW","mPCS","mPCS_true_mean","mPCS_true_sd"
-1.55884568881033,-1.27702994614134,0.545168916296738,0,1,0,0,0,0,0,0,-1.68897061637851,-0.881219081118461,0.54023945779493
-1.50840005708338,-1.25492741411768,0.270124342719974,0,1,0,0,0,1,0,0,-1.87700202538257,-0.798571578326773,0.6094238453522
-1.30661753017558,-1.15749584438072,1.01397544017718,0,1,0,0,0,1,0,1,-1.35162956264895,-0.774803037590714,0.604698156586575
-1.81107384744508,-1.37401044379619,-0.448578860847202,0,0,0,0,0,1,0,0,-0.755168931391509,-0.754669466940283,0.584573568575654
-1.45795442535643,-1.23192273792978,-0.669915391729414,0,1,0,0,0,1,0,0,-0.129965032726062,-0.601651237865533,0.695168017955612
-1.55884568881033,-1.27702994614134,0.234090906509007,0,1,0,0,0,1,0,0,-0.553613995567315,-0.819213923666096,0.600281581939361
-1.25617189844863,-1.1308825915359,-0.950115258655636,0,0,0,0,0,1,0,0,0.311042923103523,-0.365439437791815,0.768708415358109
-1.86151947917203,-1.39070011083446,-1.80565268429251,0,0,0,0,0,1,0,0,-0.979300854317996,-0.536750637935862,0.672906158549587
-1.40750879362948,-1.20801591757766,-0.519932079622774,0,1,0,0,0,1,0,0,0.332892233026089,-0.601596166869588,0.695627340458585
-1.55884568881033,-1.27702994614134,0.145802030617355,0,1,0,0,0,1,0,0,-0.137513964197565,-0.803268683990215,0.606664076197222
-1.40750879362948,-1.20801591757766,-2.76806561684634,0,0,0,1,0,1,0,0,-0.0930628966553119,-0.45071735611771,0.806105002752976
-1.45795442535643,-1.23192273792978,-0.494978421254937,0,0,1,0,0,1,0,0,-0.185646066339713,-0.736391727692832,0.609890379592399
-1.40750879362948,-1.20801591757766,-1.53427929545897,0,0,0,1,0,1,0,0,-0.42859991373014,-0.67354292054655,0.695349970226077
-1.05438937154084,-1.01540813851431,-0.931423619324711,0,1,0,0,0,0,0,0,-0.354084000648015,-0.343211589051389,0.769021489481487
-1.10483500326779,-1.04562996801605,-0.465485785431507,0,0,0,1,0,0,0,0,0.155909607909693,-0.709618311369417,0.633702770862354
-0.852606844633038,-0.885499378865028,0.298570357348874,0,1,0,0,0,1,0,1,0.420638740142604,-0.401554849108272,0.75956266420094
-1.15528063499474,-1.07494965335357,-2.7964302258188,0,1,0,0,0,0,0,0,1.32976554947226,-0.0606214775300302,0.931229787756348
-1.55884568881033,-1.27702994614134,-0.883051175389846,0,1,0,0,0,1,0,0,-0.177293452072192,-0.617454663872709,0.686237957069234
