,Unnamed: 0,filename,architecture,min_val_loss,is_min
0,0,expgamma20d_9,[ 982. 1458.],-4.047576904296875,0
1,1,expgamma20d_9,[ 889. 1596. 1412.  948.  501.],-3.9596738815307617,0
2,2,expgamma20d_9,[254. 288. 349. 253. 206. 184.],-4.0106420516967765,0
3,3,expgamma20d_9,[ 594.  826. 1302. 1462. 1478. 1292.  888.  502.  336.],-3.822848081588745,0
4,4,expgamma20d_9,[1096. 1147. 1745. 1333.  845.],-3.9497151374816895,0
5,5,expgamma20d_9,[1134. 1314. 1473.  967.  594.  573.],-3.9390945434570312,0
6,6,expgamma20d_9,[1319. 1684. 1576.],-4.053636074066162,0
7,7,expgamma20d_9,[1679. 1555.],-4.0291357040405265,0
8,8,expgamma20d_9,[109. 182. 362. 202. 124. 117.],-4.027184963226318,0
9,9,expgamma20d_9,[1256.  910.],-4.0274930000305185,0
10,10,expgamma20d_9,[ 629.  662.  934. 1052.  720.  560.],-3.9225842952728267,0
11,11,expgamma20d_9,[ 947. 1487. 1024.],-4.049313545227052,0
12,12,expgamma20d_9,[102. 128.  96.  88.  66.  65.  50.  30.],-4.032388210296632,0
13,13,expgamma20d_9,[324. 341. 648. 353. 332. 249. 193. 131.],-3.95072603225708,0
14,14,expgamma20d_9,[ 404.  530. 1013. 1696. 1250.  816.],-3.9209363460540767,0
15,15,expgamma20d_9,[ 672.  794.  888. 1113.  651.  555.],-3.9386990070343018,0
16,16,expgamma20d_9,[1391.],-3.9724745750427246,0
17,17,expgamma20d_9,[ 24.  39.  78. 152. 157. 140.  97.  49.],-4.037295341491698,0
18,18,expgamma20d_9,[521. 880. 883. 461.],-4.036872386932373,0
19,19,expgamma20d_9,[ 220.  318.  376.  635. 1248.  944.  713.  506.  362.  283.],-3.8772611618041988,0
20,20,expgamma20d_9,[307.],-3.78428316116333,0
21,21,expgamma20d_9,[149. 227. 166.  84.  49.  36.  26.  25.  17.  10.],-4.035914421081543,0
22,22,expgamma20d_9,[394. 478. 516. 961. 582. 409. 337. 207. 175.],-3.929938793182373,0
23,23,expgamma20d_9,[1128. 1753.],-4.0285677909851065,0
24,24,expgamma20d_9,[412. 458.],-4.029602527618408,0
25,25,expgamma20d_9,[341. 428. 612. 884. 644. 565.],-3.932216167449951,0
26,26,expgamma20d_9,[1329.],-3.9670288562774663,0
27,27,expgamma20d_9,[1414. 1589.  892.],-4.050279140472412,0
28,28,expgamma20d_9,[ 964. 1024. 1047.  987.  788.  502.],-3.9481804370880127,0
29,29,expgamma20d_9,[1047.  664.  422.  253.  148.  132.  106.   83.   46.   42.],-3.9935710430145264,0
