,Unnamed: 0,filename,architecture,min_val_loss,is_min
0,0,expnormal20d_9,[ 982. 1458.],1.1994630098342896,0
1,1,expnormal20d_9,[ 889. 1596. 1412.  948.  501.],1.188841462135315,0
2,2,expnormal20d_9,[254. 288. 349. 253. 206. 184.],1.198068618774414,0
3,3,expnormal20d_9,[ 594.  826. 1302. 1462. 1478. 1292.  888.  502.  336.],1.1958457231521606,0
4,4,expnormal20d_9,[1096. 1147. 1745. 1333.  845.],1.1899313926696775,0
5,5,expnormal20d_9,[1134. 1314. 1473.  967.  594.  573.],1.1883922815322876,0
6,6,expnormal20d_9,[1319. 1684. 1576.],1.1982929706573486,0
7,7,expnormal20d_9,[1679. 1555.],1.1998591423034668,0
8,8,expnormal20d_9,[109. 182. 362. 202. 124. 117.],1.204048752784729,0
9,9,expnormal20d_9,[1256.  910.],1.201213002204895,0
10,10,expnormal20d_9,[ 629.  662.  934. 1052.  720.  560.],1.1897364854812622,0
11,11,expnormal20d_9,[ 947. 1487. 1024.],1.2129236459732056,0
12,12,expnormal20d_9,[102. 128.  96.  88.  66.  65.  50.  30.],1.1930251121520996,0
13,13,expnormal20d_9,[324. 341. 648. 353. 332. 249. 193. 131.],1.1959210634231567,0
14,14,expnormal20d_9,[ 404.  530. 1013. 1696. 1250.  816.],1.1966314315795898,0
15,15,expnormal20d_9,[ 672.  794.  888. 1113.  651.  555.],1.194284200668335,0
16,16,expnormal20d_9,[1391.],1.2340620756149292,0
17,17,expnormal20d_9,[ 24.  39.  78. 152. 157. 140.  97.  49.],1.1904255151748655,0
18,18,expnormal20d_9,[521. 880. 883. 461.],1.1999211311340332,0
19,19,expnormal20d_9,[ 220.  318.  376.  635. 1248.  944.  713.  506.  362.  283.],1.191912293434143,0
20,20,expnormal20d_9,[307.],1.2338535785675049,0
21,21,expnormal20d_9,[149. 227. 166.  84.  49.  36.  26.  25.  17.  10.],1.2077038288116455,0
22,22,expnormal20d_9,[394. 478. 516. 961. 582. 409. 337. 207. 175.],1.192048192024231,0
23,23,expnormal20d_9,[1128. 1753.],1.2110283374786377,0
24,24,expnormal20d_9,[412. 458.],1.2086390256881714,0
25,25,expnormal20d_9,[341. 428. 612. 884. 644. 565.],1.1969519853591921,0
26,26,expnormal20d_9,[1329.],1.2333965301513672,0
27,27,expnormal20d_9,[1414. 1589.  892.],1.1944884061813354,0
28,28,expnormal20d_9,[ 964. 1024. 1047.  987.  788.  502.],1.188082218170166,0
29,29,expnormal20d_9,[1047.  664.  422.  253.  148.  132.  106.   83.   46.   42.],1.1773806810379028,0
30,30,expnormal20d_9,[492. 710. 667. 338. 171.],1.1937074661254885,0
31,31,expnormal20d_9,[684. 723. 796. 670. 635. 444.],1.1962770223617554,0
32,32,expnormal20d_9,[573. 908. 459.],1.2001718282699585,0
33,33,expnormal20d_9,[184. 365. 284. 276. 182. 143.],1.2008390426635742,0
34,34,expnormal20d_9,[294. 335. 420. 794. 623. 466. 239. 141.],1.1966502666473389,0
35,35,expnormal20d_9,[ 750. 1285.],1.210235595703125,0
36,36,expnormal20d_9,[210. 353. 365. 269. 195. 156.],1.200804591178894,0
37,37,expnormal20d_9,[1224. 1551. 1566. 1671. 1563. 1096.  718.  425.  228.  214.],1.1830664873123171,0
38,38,expnormal20d_9,[ 844. 1394. 1603. 1435. 1409.],1.1870064735412598,0
39,39,expnormal20d_9,[984. 528. 428. 403.],1.1905087232589722,0
40,40,expnormal20d_9,[473. 537.],1.218716025352478,0
41,41,expnormal20d_9,[276. 354. 376. 492. 740. 562. 316. 171.  97.],1.2003148794174194,0
42,42,expnormal20d_9,[103. 159. 253. 339. 364. 301. 246. 137.],1.1898763179779053,0
43,43,expnormal20d_9,[1196. 1429. 1209.  869.  858.  690.  578.],1.1942884922027588,0
44,44,expnormal20d_9,[ 499.  587. 1171. 1617. 1058.  774.  518.  264.  143.],1.1851340532302856,0
45,45,expnormal20d_9,[115. 113.  96.  71.  52.  46.  43.  29.  16.  13.],1.1967082023620603,0
46,46,expnormal20d_9,[1331.  979.  866.  739.  491.  470.  367.],1.1797771453857422,0
47,47,expnormal20d_9,[ 943. 1215. 1468.  784.  638.  608.  513.  351.  268.  140.],1.1934096813201904,0
48,48,expnormal20d_9,[1000. 1037. 1483. 1087.  794.],1.195945143699646,0
49,49,expnormal20d_9,[ 994. 1410. 1249.],1.2013638019561768,0
50,50,expnormal20d_9,[685. 911. 853. 436. 336.],1.191520929336548,0
51,51,expnormal20d_9,[666. 894. 919. 904. 887. 466.],1.1901851892471311,0
52,52,expnormal20d_9,[93. 91. 65. 43. 22.],1.2086069583892822,0
53,53,expnormal20d_9,[680. 467. 307. 264. 248. 246. 177.],1.191205382347107,0
54,54,expnormal20d_9,[274. 468. 764. 472. 382. 376. 266.],1.1937133073806765,0
55,55,expnormal20d_9,[ 68.  94. 161. 264. 229. 211.],1.190648078918457,0
56,56,expnormal20d_9,[1466. 1184. 1055.  553.  293.  281.],1.1873971223831177,0
57,57,expnormal20d_9,[194. 248. 406. 298. 238.],1.2036986351013184,0
58,58,expnormal20d_9,[1011. 1521. 1132.  605.  395.],1.1826403141021729,0
59,59,expnormal20d_9,[501. 653.],1.2154744863510132,0
60,60,expnormal20d_9,[ 877. 1057.  766.  724.],1.1959545612335205,0
61,61,expnormal20d_9,[1123. 1186.  615.  347.  218.  151.  103.],1.1853170394897459,0
62,62,expnormal20d_9,[340. 384.],1.213834524154663,0
63,63,expnormal20d_9,[672. 972. 631.],1.2118715047836304,0
64,64,expnormal20d_9,[272.],1.2327967882156372,0
65,65,expnormal20d_9,[1530.],1.2277709245681765,0
66,66,expnormal20d_9,[1662. 1675. 1242.],1.183369278907776,0
67,67,expnormal20d_9,[ 742. 1049.  625.  326.  280.],1.1975301504135132,0
68,68,expnormal20d_9,[516. 786. 656.],1.2147037982940674,0
69,69,expnormal20d_9,[ 76. 144. 197. 206. 284. 219. 173. 120. 108.],1.1865105628967283,0
70,70,expnormal20d_9,[1180.],1.232945442199707,0
71,71,expnormal20d_9,[1088. 1188. 1293.  854.  729.  422.  272.  250.  215.  181.],1.1902620792388916,0
72,72,expnormal20d_9,[579. 945. 481. 391.],1.1965287923812866,0
73,73,expnormal20d_9,[109.  91.],1.2029720544815063,0
