"","X.1","X","Unnamed..0","x1","x2","x3","x4","x5","y","testid","pred_con","pred_rate","pred_scale","sub_id","gam_shape","gam_scale","gamlin_shape","gamlin_scale"
"1",1,0,1,0.968565899243866,0.835119893654355,0.606980370498758,0.662779698583223,0.177159578647425,0.246095367662542,1,4.9835753,21.597742,0.046301138,FALSE,4.90051590331233,0.046313110024923,4.86014757734409,0.047046544052164
"2",2,1,2,0.106770201510205,0.441413839976077,0.292261259230774,0.728592633517164,0.298203588403976,0.088828405110513,0,2.1019003,14.912579,0.06705748,TRUE,2.31435482124323,0.0639695627490885,2.31590904376418,0.0641948316058126
"3",3,2,3,0.342885947928922,0.740369993595642,0.783951437710439,0.448086737222013,0.602183215675813,0.357723246244952,0,4.9881563,19.142065,0.052240968,TRUE,4.69848292908416,0.0521024724886658,4.68172606527149,0.0519462636497686
"4",4,3,4,0.658288546937345,0.676186784700517,0.812829596150516,0.0845808178553249,0.802026756862318,0.254000197182358,0,6.2583413,19.995207,0.050011985,TRUE,6.28292759709776,0.0505117639968212,6.26973839758054,0.0505591958589865
"5",5,4,5,0.888346733876234,0.103430720036666,0.815324337078684,0.640462807684559,0.457301397091994,0.111684168826283,0,4.584815,21.050901,0.047503904,TRUE,4.31935861466923,0.050470804206381,4.3095182339276,0.0506143524535669
"6",6,5,6,0.101881188018063,0.0572064799038951,0.734816532739445,0.230748284785195,0.993072558243098,0.266125283218472,0,4.2450557,19.212912,0.052048333,TRUE,3.80662795421125,0.0606172093956081,3.78445187715814,0.0613856362966484
"7",7,6,7,0.532312073084921,0.532953145477115,0.148280032534177,0.343880837740926,0.0628755268484811,0.080720146084061,1,2.147169,13.494975,0.07410166,FALSE,2.22179066210282,0.0708881037647971,2.22909708696598,0.0698716182934425
"8",8,7,8,0.524727571200827,0.713554234178631,0.608438197240243,0.410465992428568,0.705462037510799,0.308073157051511,1,5.600343,19.32009,0.051759593,FALSE,5.45375598933404,0.0498800004976328,5.40937348075313,0.0496641271750695
"9",9,8,9,0.310686597803624,0.916751035473105,0.17877505736986,0.613429083873099,0.779360948781226,0.287550993978305,0,5.5396028,21.855406,0.04575527,TRUE,5.19841606240301,0.0489565686319303,5.21156635453978,0.0486156264958377
"10",10,9,10,0.184072008693037,0.937994975291498,0.854041068729392,0.148901553760528,0.603209052345583,0.122162894060964,1,4.621409,18.604115,0.05375155,FALSE,4.47729065955709,0.0563565477810753,4.48450043099672,0.0567222964209452
"11",11,10,11,0.157444075354576,0.25640943510519,0.94819203002558,0.480082978383492,0.305832300386131,0.298712785483383,1,2.4664896,14.981857,0.0667474,FALSE,2.48131936933972,0.0662408682478052,2.50653038103826,0.0655108716231327
"12",12,11,12,0.336757518835444,0.719782152750944,0.318226133638988,0.902844117140983,0.460587465527708,0.16082025145422,0,3.8487642,20.036505,0.049908906,TRUE,3.87392000807412,0.0500491235570409,3.87235574270295,0.0502725319522847
"13",13,12,13,0.350761041401445,0.344114399164169,0.912614206780702,0.211475332634082,0.607215315299435,0.188607440907816,0,4.056477,17.682766,0.05655224,TRUE,3.71544078964512,0.0605354147860064,3.73918372472527,0.0601529400297599
"14",14,13,14,0.725961642172052,0.361655560840362,0.306212573608664,0.985300649393534,0.886607652433655,0.142070484780119,0,6.160344,22.539951,0.044365667,TRUE,6.35634780922918,0.0410419242271574,6.35112736531319,0.0412125095956518
"15",15,14,15,0.338741848458195,0.533516419575298,0.69644982036503,0.423905599895949,0.196289280761605,0.125344918964864,0,2.712801,15.137208,0.06606238,TRUE,2.71586774605375,0.0638412476196372,2.6977431327292,0.063876554700744
