"","X.1","X","Unnamed..0","x1","x2","x3","x4","x5","y","testid","pred_mean","pred_std","sub_id","gam_mean","gam_scale","gamlin_mean","gamlin_scale"
"1",1,0,1,0.278339687207185,0.0374517350205853,0.849376126210662,0.784934259175763,0.415682233477798,0.553225085549512,1,0.45733708,0.07507236,FALSE,0.464492433096592,0.0789454341303821,0.465116464982942,0.0745849571521274
"2",2,1,2,0.308184646106977,0.291901517263187,0.110206103160673,0.251907021326087,0.00803129294103484,0.342221887197482,0,0.37629873,0.038315237,TRUE,0.371309137597449,0.0430279735094483,0.372108668412889,0.0410176276542231
"3",3,2,3,0.755369373975462,0.665902811583962,0.993622828997165,0.28986573385613,0.908555662526036,0.566634228670125,0,0.53111297,0.14976722,TRUE,0.54541050773365,0.178352901655581,0.545428825766999,0.166131856820904
"4",4,3,4,0.674911821220719,0.846218568986654,0.164714082377947,0.32752613234252,0.471857142862,0.417225991008859,0,0.45040086,0.08263196,TRUE,0.451816507350152,0.0822451514695488,0.45222854146995,0.081665999262886
"5",5,4,5,0.136079507848673,0.902717059419575,0.0898204012227645,0.967842125501437,0.16978143940193,0.332449625831505,0,0.40877873,0.06921905,TRUE,0.410696733867241,0.0686764060174222,0.410076349224836,0.0637288384517894
"6",6,5,6,0.336619053871138,0.41508248196373,0.0796066831815931,0.169743502278968,0.530934297980888,0.32218732248371,0,0.40491375,0.065942645,TRUE,0.407324324404706,0.0643694443111534,0.408389066284134,0.0670133612590407
"7",7,6,7,0.704591594690794,0.358301662057534,0.867398953265278,0.990848113964378,0.0810405584383418,0.589979749133487,1,0.481004,0.06770556,FALSE,0.489506926789487,0.0671119060843556,0.489590178000263,0.0657484761990441
"8",8,7,8,0.174970904218203,0.296700299816772,0.982668261782939,0.14836714431707,0.738096881669368,0.523311503250224,0,0.4887363,0.1035767,TRUE,0.476891938454222,0.111316670825045,0.476708517621845,0.111987446083608
"9",9,8,9,0.459226402545465,0.803603111521121,0.998224770650909,0.367267963187976,0.919299003948175,0.433139500541599,0,0.51591176,0.156482,TRUE,0.530628604362001,0.198450256578543,0.531955211137409,0.178195349790638
"10",10,9,10,0.0857686938042296,0.819896604619186,0.380412547832061,0.201656634490949,0.243039861338335,0.462450895129486,0,0.40440363,0.0722762,TRUE,0.407646137726085,0.0668301458443872,0.40657849937334,0.0680046270064349
"11",11,10,11,0.824911204371569,0.675404156251548,0.00786049186480884,0.994276629576078,0.436017777143262,0.391606844049961,0,0.47071797,0.07633257,TRUE,0.465711006612976,0.0749983361265306,0.465244028958117,0.0745354311152414
"12",12,11,12,0.833595653445478,0.26677299585999,0.0334156134072022,0.86906587277009,0.270253405650199,0.433039501035078,0,0.44437134,0.054741655,TRUE,0.44141408986088,0.0533137238321961,0.440824551957068,0.0538517991505263
"13",13,12,13,0.0157534816418361,0.51896537878666,0.635623514600464,0.789722263633642,0.019779528168155,0.341525523945021,0,0.40665236,0.06189697,TRUE,0.418539072593412,0.0572987543349486,0.416684333461989,0.0573860533156251
"14",14,13,14,0.511922093371173,0.672696635652867,0.633499748212921,0.0586807969223363,0.426467371568035,0.528014197154716,0,0.45579267,0.08409414,TRUE,0.45891254608687,0.0790695143842961,0.460027321164535,0.0847650900479911
"15",15,14,15,0.778217966981725,0.269028131340907,0.48113746766222,0.668684749241473,0.959467384144411,0.442099695144095,0,0.51185095,0.13300495,TRUE,0.512338542566699,0.121667391457147,0.512158678091274,0.12185215578247
"16",16,15,16,0.929400039018142,0.34304152791131,0.6388310133092,0.904403704168706,0.56320440336227,0.362417459769937,0,0.51709455,0.09399164,TRUE,0.518652661214514,0.0863135230967142,0.517675379202233,0.0942812763731914
"17",17,16,17,0.180185103578665,0.315481030397654,0.670843372169017,0.821823516262144,0.727124538006164,0.570053016976922,1,0.47378856,0.102149375,FALSE,0.474969291208106,0.0966437919919682,0.474800888753539,0.105606130350336
"18",18,17,18,0.498050534270362,0.696529879006054,0.121007795756555,0.798366394921609,0.330377025824026,0.460202396291722,0,0.4345962,0.07252374,TRUE,0.43666576163183,0.0674159996750528,0.43776867493856,0.0686651539587636
"19",19,18,19,0.76750795168068,0.868378644992067,0.655222169672289,0.210938350231148,0.19720846074626,0.497281706204845,0,0.47288123,0.085143596,TRUE,0.474739742589979,0.0768419755741802,0.474617363810232,0.0770414772384048
"20",20,19,20,0.506139074366832,0.67016574657821,0.0736205578288899,0.84493056990122,0.147728756294274,0.462849155435134,0,0.42054176,0.061604287,TRUE,0.421914665491717,0.0583381840753861,0.422949910020272,0.0566824505252688
"21",21,20,21,0.663095896191432,0.984980807570227,0.42594373448985,0.461705170909412,0.945497013461388,0.55077603131194,0,0.49761847,0.15947957,TRUE,0.511732872799652,0.172781833822277,0.512287078775118,0.158012291378398
"22",22,21,22,0.277052000749449,0.384518734393567,0.237421893068913,0.169289199137355,0.441293885001238,0.401851935081967,0,0.40856752,0.06063284,TRUE,0.408628490011834,0.0605330005067437,0.409315519534853,0.0646642950481263
"23",23,22,23,0.547120927696107,0.967457841556033,0.191029666488027,0.0396528278078964,0.56820214473539,0.447422174722017,0,0.4374592,0.09397767,TRUE,0.444788046751737,0.0957516831428779,0.445833377070467,0.0919265490095412
"24",24,23,24,0.25842565050914,0.766328841885206,0.175498993996388,0.113342817917252,0.438480340139988,0.401397378710674,0,0.406801,0.07239659,TRUE,0.411407562386398,0.0724875273438906,0.412004571966165,0.0734148430763171
"25",25,24,25,0.314952694903962,0.0386416760495763,0.672270144348046,0.498449149570204,0.418826882887945,0.446580039330058,1,0.44153512,0.067571245,FALSE,0.444069416670234,0.0688603074623086,0.444951509362999,0.0676538602782213
"26",26,25,26,0.608450486244909,0.99161806330054,0.97410522148015,0.363549810485866,0.0209700582353185,0.382957274656344,0,0.47926837,0.10029317,TRUE,0.483643335712073,0.0941364972637416,0.484328627890546,0.0790106343555786
"27",27,26,27,0.498234312044898,0.656698309197443,0.739821299241519,0.511457058118742,0.420834172035907,0.43603490117733,1,0.484547,0.09234843,FALSE,0.480061540591154,0.0857946485845566,0.481198597770417,0.0920017498619057
"28",28,27,28,0.520641656453682,0.412954851715857,0.451562400999871,0.638972157709626,0.152583969364158,0.494855274028075,0,0.43809476,0.05792527,TRUE,0.4384814345466,0.0554079835291519,0.439450177073055,0.0581645489375016
"29",29,28,29,0.0381005359515941,0.10204146915755,0.198940651009287,0.645220922961355,0.389935477080299,0.309962786206479,0,0.38729838,0.054932486,TRUE,0.39506503449594,0.0570528035031598,0.393441183788541,0.0562099506885131
"30",30,29,30,0.864422067179654,0.427556822751966,0.54724134771853,0.415402909102116,0.693301980228632,0.564207721290324,0,0.50039613,0.09958915,TRUE,0.501972846976025,0.0910908553666322,0.501347504035883,0.100861321717882
"31",31,30,31,0.34142685733307,0.121716232941193,0.595614846397941,0.31758394058522,0.148302003238514,0.424267716740752,0,0.41260055,0.049701024,TRUE,0.417848967820219,0.0529290314542138,0.418830460386354,0.0522151673881304
"32",32,31,32,0.14041037647831,0.685537796884984,0.712425389674429,0.904979569180558,0.423558864891106,0.391911672230735,0,0.4622631,0.09434182,TRUE,0.46812941939036,0.0892684215601393,0.467577520613197,0.0947482696025636
"33",33,32,33,0.871300582186914,0.405191857103368,0.482270187248781,0.432616026757498,0.124871795238058,0.526207403718456,1,0.4527043,0.055886164,FALSE,0.45856927925986,0.05468132143264,0.45781386679323,0.0569727311771046
"34",34,33,34,0.641447894576705,0.753574171166101,0.202842806786506,0.963686805848674,0.328511691886281,0.588934474099725,1,0.4602961,0.07846028,FALSE,0.46061624816538,0.0733069627915352,0.461124576769021,0.0744511797277387
"35",35,34,35,0.381147800991331,0.22665241917295,0.365533912726608,0.736911621872822,0.441769879853562,0.37306768480866,0,0.4404674,0.0669433,TRUE,0.439521621298737,0.0643766246592806,0.440668137607873,0.0680754859656175
"36",36,35,36,0.0911058994435405,0.830671423312984,0.968590751336931,0.552129513388836,0.734348331941096,0.307193955394791,0,0.49233314,0.13089634,TRUE,0.498661553394102,0.153667601584796,0.497712710280969,0.147595785350812
"37",37,36,37,0.162187500694613,0.038074323646986,0.173550042749195,0.329741043178633,0.88254346090018,0.227718054668013,1,0.40750372,0.09943787,FALSE,0.422255680372165,0.0923462995691633,0.421914365891202,0.0833246068839003
"38",38,37,38,0.330333400858977,0.74867741429458,0.0951681846389225,0.513411649413603,0.972728492487518,0.823334482487124,0,0.45424148,0.13542293,TRUE,0.458941012107755,0.134890492464292,0.460067416454377,0.124550203139862
"39",39,38,39,0.242057535492842,0.525631529034107,0.945329250401005,0.341034071511058,0.365532308502148,0.420379642762102,0,0.4738193,0.08751673,TRUE,0.465416299323805,0.0839890109348053,0.465828534687712,0.0868586596621911
"40",40,39,40,0.232446795635932,0.957881214012045,0.663563591259626,0.269343822239197,0.962584288959574,0.411814038152153,0,0.46556872,0.16230926,TRUE,0.493738396562569,0.182649806502574,0.494212738723642,0.168404984395433
"41",41,40,41,0.430272150668228,0.87068085552732,0.158204379678123,0.561550228499207,0.100938343337608,0.322775580300389,1,0.4125606,0.0677752,FALSE,0.416089682783253,0.0632045194211809,0.417311499743731,0.0589712677873489
"42",42,41,42,0.15179230809577,0.9836752111642,0.629856433080832,0.82993492839952,0.0489645620604405,0.44834482211821,0,0.43644118,0.08971821,TRUE,0.442801748416886,0.0788625918770332,0.44234131632451,0.072206971549861
"43",43,42,43,0.0920256507312302,0.204093247589698,0.500159596835693,0.815458840429763,0.904569740045319,0.561670511233567,0,0.45960137,0.114689894,TRUE,0.465217605149532,0.11035189503071,0.464189029365508,0.110719560211056
"44",44,43,44,0.831076147695331,0.548319330316489,0.802088206605217,0.205362724588783,0.077683363242773,0.522790765262174,1,0.46409842,0.071527556,FALSE,0.473551851896655,0.0639096553453496,0.473020658730156,0.063988540380094
