"","X.1","X","Unnamed..0","x1","x2","x3","x4","x5","y","testid","pred_mean","pred_std","sub_id","gam_mean","gam_scale","gamlin_mean","gamlin_scale"
"1",1,0,1,0.236765628093234,0.0475841507038501,0.253316304714843,0.0468320227487847,0.243050577585474,0.279942547406924,1,0.2767461,0.032649446,FALSE,0.258961288509742,0.0350604084060445,0.256993980269179,0.0325989028766417
"2",2,1,2,0.0880163267694512,0.0473439553297761,0.700565948825718,0.500739336210971,0.201894758965608,0.304579893656337,1,0.28493,0.055270772,FALSE,0.288405182084836,0.0454399366137617,0.290009986497803,0.0461783466615789
"3",3,2,3,0.77700545439844,0.927780965450818,0.297890116386993,0.182153653351104,0.461490817984163,0.229804956293862,0,0.29819053,0.06433149,TRUE,0.307165881734726,0.0612087384761167,0.309333629399356,0.062632800663261
"4",4,3,4,0.483100648823606,0.134180689676153,0.708754803005505,0.414772613828265,0.6343298062646,0.389854063315518,0,0.3148974,0.059586506,TRUE,0.316560683313088,0.0558762332164893,0.321414045347964,0.0637704638356689
"5",5,4,5,0.23632606706994,0.174996905096982,0.254988196839998,0.0903903401624468,0.601327454826243,0.266263500496484,0,0.28519112,0.036771573,TRUE,0.276840038312862,0.0372067615695965,0.278353310815551,0.036466057603647
"6",6,5,6,0.834256919184277,0.61816926355815,0.375720082902513,0.0230450897912153,0.0155565710430295,0.352032595286236,0,0.28708452,0.06447883,TRUE,0.284907953702897,0.0586970424996091,0.280587417072587,0.0527672878677779
"7",7,6,7,0.423495909816791,0.818498011538855,0.906760302038672,0.829299333894829,0.469945233249172,0.348225108309628,1,0.3801684,0.0860583,FALSE,0.352970719049916,0.0967320232534049,0.351701408583983,0.0991747753307571
"8",8,7,8,0.756159847703941,0.00676488977434018,0.635914511776043,0.618109544643349,0.787206891916645,0.468332965526405,0,0.34469536,0.07619578,TRUE,0.340811025395319,0.0772015606626549,0.340861365524448,0.0824114730261366
"9",9,8,9,0.146348781218021,0.762961028240946,0.199052767928759,0.0209549018854879,0.186812876963245,0.233192483973207,1,0.26893994,0.043079454,FALSE,0.264302217009014,0.0386443025082915,0.261394565600816,0.0340771994929486
"10",10,9,10,0.868614904812994,0.556220337441966,0.0674582208148943,0.867853769062441,0.944646525531655,0.346480620658134,1,0.36095676,0.0838233,FALSE,0.355571042117453,0.0957387866344711,0.348409586747692,0.0865101131574223
"11",11,10,11,0.463221843661276,0.0266113915029644,0.275119671071236,0.168046205295546,0.363927015231813,0.320293815392022,0,0.28290474,0.041962735,TRUE,0.274814370495072,0.0395573034193841,0.275952625670626,0.0403585865745884
"12",12,11,12,0.411351390702348,0.935375872419103,0.175324881061032,0.90267294246846,0.752408852421827,0.483363926228232,0,0.33514965,0.06822995,TRUE,0.342002477254228,0.0739029703027244,0.338005963468624,0.0724012100268445
"13",13,12,13,0.136140293652267,0.682675396364229,0.928145079592011,0.251924322279378,0.824607495406213,0.305877484536696,0,0.32431048,0.06230094,TRUE,0.336426978000397,0.0657519045744879,0.33201651071062,0.0626720845181487
"14",14,13,14,0.506311167090117,0.181321446543042,0.888393140538715,0.724277672105109,0.0478171870598316,0.345170452399616,0,0.31051934,0.076216996,TRUE,0.321017550417016,0.0766274997891274,0.31689102239592,0.0757133111369712
"15",15,14,15,0.602944161045707,0.702762320966123,0.899757938809217,0.0128595070422784,0.0449803247401434,0.303519483018964,0,0.2883579,0.07665704,TRUE,0.305898878699362,0.0723438990955435,0.29869253791334,0.0624084593679644
