"","X.1","X","Unnamed..0","x1","x2","x3","x4","x5","y","testid","pred_con","pred_rate","pred_scale","sub_id","gam_shape","gam_scale","gamlin_shape","gamlin_scale"
"1",1,0,1,0.740497622447646,0.846303213015228,0.219098529498567,0.973698247807097,0.53739537001214,0.535304108363078,0,7.628403,21.015911,0.047582995,TRUE,8.96694796069467,0.0424181123271256,8.84498802863358,0.0428370659159347
"2",2,1,2,0.847668300469736,0.968670204006131,0.176566123424651,0.265511503517873,0.845294083258548,0.570713846840219,0,7.8154106,20.120302,0.049701042,TRUE,8.72755262591481,0.0477113175371455,8.26950309148167,0.0503776088228738
"3",3,2,3,0.135224748549296,0.100094128279982,0.781325364828969,0.319620091193083,0.184091965371665,0.17603619814202,0,2.8639987,14.498487,0.068972714,TRUE,3.09674014951146,0.061018446000593,2.9685299953495,0.0633606420133647
"4",4,3,4,0.706664677783574,0.025511129546431,0.605206999746849,0.664297155114852,0.916016427929847,0.15491783992871,0,5.61578,19.573393,0.051089764,TRUE,5.72473488433815,0.0491509030973796,5.70398636683957,0.0495246110470544
"5",5,4,5,0.314340296458881,0.255983880361938,0.367304865432114,0.238394637755918,0.723293239272597,0.104609262851341,0,3.4642446,15.22187,0.06569495,TRUE,3.80767470859662,0.0601363829061822,3.71009324029817,0.0608718401567898
"6",6,5,6,0.078473417679715,0.630184531578329,0.0887226211155302,0.748561067303749,0.400879650699359,0.287567944228074,0,4.6546907,20.320227,0.04921205,TRUE,4.14088251259673,0.0539669712024518,4.21205231895884,0.0530673448461081
"7",7,6,7,0.415832490724737,0.366353598471195,0.863310537568009,0.0687863255142091,0.09171437173621,0.0679994236328308,0,3.4442933,14.050617,0.071171254,TRUE,3.52161214350695,0.0665646749929786,3.73717642845642,0.0645365202463793
"8",8,7,8,0.261461726688677,0.526866382691759,0.141700630998051,0.217584704863285,0.636001433282173,0.22573979318982,1,3.5342278,15.334221,0.06521361,FALSE,3.80238749782103,0.0622237235443093,3.80247415708491,0.0617075637625579
"9",9,8,9,0.87272885287059,0.590827047520491,0.665615433442946,0.0348456889608471,0.688132749754506,0.476145278603999,0,6.0484257,16.755333,0.059682492,TRUE,6.23138983226026,0.0586619512666802,6.6049258481148,0.0556698744965195
"10",10,9,10,0.0492574846868415,0.882808749240862,0.51764599397718,0.795362037500526,0.711017276184238,0.246983050676317,0,6.7902627,23.250177,0.043010425,TRUE,7.22343453128954,0.0404926420859179,7.15588148627714,0.0405158631807778
