"","X.1","X","Unnamed..0","x1","x2","x3","x4","x5","y","testid","pred_mean","pred_std","sub_id","gam_mean","gam_scale","gamlin_mean","gamlin_scale"
"1",1,0,1,0.686091189732963,0.240874189806866,0.264506481660466,0.890543882558771,0.250803939613556,0.279722912876413,0,0.33120862,0.07717485,TRUE,0.343551230843489,0.0764217498101955,0.345195191059935,0.0780673783413673
"2",2,1,2,0.573390940313632,0.218133996643626,0.696940856891561,0.306794086417762,0.375668558149913,0.334871767228812,0,0.3213783,0.068768874,TRUE,0.319597013566805,0.0679880046322302,0.322562436778768,0.072174876297152
"3",3,2,3,0.474376567433459,0.468619026580356,0.694793143238612,0.315816923447953,0.616654781869928,0.3288526458928,0,0.35106686,0.07950529,TRUE,0.352840115450814,0.0779129327942975,0.359308537944178,0.0858847633618189
"4",4,3,4,0.461361127200408,0.55875403166546,0.749077710711409,0.340774780135715,0.882016242711761,0.250277048841252,1,0.3830982,0.104265474,FALSE,0.384760890434727,0.102386948084523,0.388228344331175,0.106030379919738
"5",5,4,5,0.146360727608856,0.830894308539489,0.930543296877394,0.708793107848035,0.394609690089905,0.503207753180418,0,0.37477005,0.096299626,TRUE,0.382014236475285,0.0944940545073951,0.381037309142374,0.0923222925675043
"6",6,5,6,0.79192293299881,0.469378075007271,0.439521914747041,0.0330257226531659,0.530174604678558,0.20090163058854,0,0.3491732,0.07736098,TRUE,0.350797397505206,0.0707905837936745,0.354966353471725,0.0760354662204276
"7",7,6,7,0.676879311319205,0.657414558100068,0.405402270649968,0.293656302452435,0.802473695803922,0.408786064813979,0,0.40560022,0.096280426,TRUE,0.395471694496434,0.0908269846798012,0.398494243085567,0.0992602342544659
"8",8,7,8,0.540642504913874,0.622889852557656,0.0663951121292651,0.0912278489054313,0.342984434389116,0.321667687384222,1,0.330331,0.057859484,FALSE,0.336867412734081,0.0570515317879837,0.341758547369747,0.0583683177436857
"9",9,8,9,0.776594417636942,0.267118562308046,0.480465055646855,0.0663162981466421,0.778204130986944,0.338788967203452,0,0.35008153,0.090177014,TRUE,0.353049165530943,0.0803656272647119,0.354334495817436,0.0852360209601194
"10",10,9,10,0.878882663104158,0.667642882497397,0.660628418695348,0.893632747615376,0.313995447003115,0.498910954870554,0,0.4082976,0.10809898,TRUE,0.406400405677031,0.110687293291815,0.405733608895741,0.113329494663324
"11",11,10,11,0.408699026266873,0.533867659604789,0.63324267078899,0.442764327567966,0.574307539445162,0.317284780734857,0,0.35403454,0.07770373,TRUE,0.357361963331882,0.077626689113543,0.364340823312043,0.0857041718264538
"12",12,11,12,0.0132325597005461,0.0947602602779823,0.735724055775147,0.837858258171292,0.31622480347457,0.32005039762709,1,0.3147803,0.0694688,FALSE,0.30815773131217,0.0696140548465247,0.300667101479806,0.0675819165723363
"13",13,12,13,0.0941273465829603,0.86245057964055,0.143803391607673,0.0273747888475801,0.784522716405987,0.37174570305761,0,0.34947965,0.07114714,TRUE,0.37439735613516,0.0690634804098011,0.370172446348928,0.0669690459785471
"14",14,13,14,0.0609351592614452,0.410569822353812,0.116263510947999,0.547267242838532,0.935779066424548,0.314061608208816,0,0.3494533,0.09057281,TRUE,0.362581264646055,0.0833393353482784,0.359406551087885,0.078478638673244
"15",15,14,15,0.636426152124508,0.170701838232237,0.867778615159902,0.965774363808258,0.550739590010207,0.2063796210944,0,0.34820858,0.113486305,TRUE,0.363921037850747,0.111680391078791,0.366512905868162,0.11378689224227
"16",16,15,16,0.114497843434706,0.766295452333852,0.22029202746881,0.425437116811938,0.846470477840352,0.388542391236604,0,0.37493238,0.08990405,TRUE,0.387765681737589,0.0824218284034688,0.38576359399478,0.0824339341172011
"17",17,16,17,0.969787669446098,0.410978523865119,0.377594383631229,0.517664537232673,0.920053189511129,0.476094640766147,0,0.4311532,0.12059399,TRUE,0.414533985460875,0.12832466752213,0.409361567725717,0.123283423778908
"18",18,17,18,0.138225284015691,0.612908618358907,0.651306720508401,0.402051821171056,0.508500950575025,0.256055416397025,0,0.3400933,0.07594258,TRUE,0.347037703611917,0.069707863870779,0.350656966511342,0.0744527993788244
"19",19,18,19,0.0261426882755239,0.619341566967765,0.44983485413988,0.724452376741794,0.468074163091336,0.338454692721704,1,0.35227937,0.07554901,FALSE,0.356108386855975,0.0707226604137466,0.355387742278144,0.0743979455070898
